iter	Passed	Remaining
1003	2431	2411
1004	2433	2409
1005	2435	2406
1006	2437	2403
1007	2439	2401
1008	2442	2398
1009	2444	2395
1010	2446	2393
1011	2448	2390
1012	2450	2387
1013	2452	2384
1014	2454	2382
1015	2456	2379
1016	2459	2377
1017	2461	2374
1018	2463	2371
1019	2465	2368
1020	2467	2366
1021	2469	2363
1022	2471	2360
1023	2474	2358
1024	2476	2355
1025	2478	2353
1026	2481	2350
1027	2483	2348
1028	2485	2345
1029	2487	2342
1030	2489	2340
1031	2491	2337
1032	2493	2334
1033	2495	2331
1034	2498	2329
1035	2500	2326
1036	2502	2323
1037	2504	2321
1038	2506	2318
1039	2508	2315
1040	2510	2312
1041	2512	2309
1042	2514	2307
1043	2516	2304
1044	2518	2301
1045	2521	2299
1046	2523	2296
1047	2525	2294
1048	2528	2291
1049	2530	2289
1050	2533	2287
1051	2535	2285
1052	2538	2282
1053	2540	2280
1054	2542	2277
1055	2545	2275
1056	2547	2272
1057	2550	2270
1058	2552	2267
1059	2554	2265
1060	2557	2263
1061	2559	2260
1062	2561	2258
1063	2564	2255
1064	2566	2253
1065	2568	2250
1066	2570	2247
1067	2572	2245
1068	2575	2242
1069	2577	2240
1070	2580	2237
1071	2582	2235
1072	2584	2232
1073	2586	2230
1074	2588	2227
1075	2591	2225
1076	2593	2222
1077	2595	2219
1078	2597	2217
1079	2599	2214
1080	2601	2212
1081	2604	2209
1082	2606	2206
1083	2608	2204
1084	2610	2201
1085	2612	2198
1086	2614	2196
1087	2617	2193
1088	2619	2191
1089	2621	2188
1090	2623	2185
1091	2625	2183
1092	2627	2180
1093	2629	2177
1094	2631	2174
1095	2633	2172
1096	2635	2169
1097	2638	2167
1098	2640	2164
1099	2642	2161
1100	2644	2159
1101	2646	2156
1102	2648	2153
1103	2650	2151
1104	2652	2148
1105	2655	2146
1106	2657	2143
1107	2659	2140
1108	2661	2138
1109	2663	2135
1110	2665	2132
1111	2667	2130
1112	2669	2127
1113	2671	2124
1114	2673	2121
1115	2675	2119
1116	2677	2116
1117	2679	2113
1118	2681	2111
1119	2683	2108
1120	2685	2105
1121	2687	2103
1122	2689	2100
1123	2691	2097
1124	2693	2094
1125	2695	2092
1126	2697	2089
1127	2699	2086
1128	2701	2084
1129	2703	2081
1130	2706	2079
1131	2708	2076
1132	2710	2073
1133	2712	2071
1134	2714	2068
1135	2716	2066
1136	2718	2063
1137	2720	2061
1138	2723	2058
1139	2725	2056
1140	2727	2053
1141	2730	2051
1142	2732	2048
1143	2734	2046
1144	2736	2043
1145	2738	2040
1146	2740	2038
1147	2743	2035
1148	2745	2033
1149	2747	2030
1150	2749	2028
1151	2752	2026
1152	2754	2023
1153	2757	2021
1154	2759	2018
1155	2762	2016
1156	2764	2014
1157	2766	2011
1158	2768	2009
1159	2771	2006
1160	2773	2004
1161	2775	2001
1162	2777	1999
1163	2780	1996
1164	2782	1994
1165	2784	1991
1166	2786	1989
1167	2788	1986
1168	2790	1983
1169	2793	1981
1170	2795	1979
1171	2797	1976
1172	2799	1974
1173	2802	1971
